number,profit_rate,trade_count,failed_trades,start_date,end_date,up_sell_rate,down_buy_rate,up_callback_rate,down_rebound_rate,shares_per_trade
10,3.757448374643525,9,"{'无持仓': 0, '卖出价格超范围': 0, '现金不足': 14, '买入价格超范围': 0}",2024-10-15,2024-12-20,0.013000000000000001,0.022,0.0035,0.001,33000
11,3.7700864327855723,9,"{'无持仓': 0, '卖出价格超范围': 0, '现金不足': 20, '买入价格超范围': 0}",2024-10-15,2024-12-20,0.013500000000000002,0.021,0.0035,0.0015,36000
12,1.9150967081214454,9,"{'无持仓': 0, '卖出价格超范围': 0, '现金不足': 56, '买入价格超范围': 0}",2024-10-15,2024-12-20,0.013500000000000002,0.0195,0.003,0.01,42000
13,6.27741223274821,14,"{'无持仓': 0, '卖出价格超范围': 0, '现金不足': 4, '买入价格超范围': 0}",2024-10-15,2024-12-20,0.007500000000000001,0.0235,0.001,0.001,31000
14,3.503224273224875,19,"{'无持仓': 0, '卖出价格超范围': 0, '现金不足': 0, '买入价格超范围': 0}",2024-10-15,2024-12-20,0.0045000000000000005,0.0245,0.001,0.0085,18000
15,3.4679640536456384,15,"{'无持仓': 0, '卖出价格超范围': 0, '现金不足': 29, '买入价格超范围': 0}",2024-10-15,2024-12-20,0.0085,0.016,0.002,0.0025,29000
16,1.0538112527989143,7,"{'无持仓': 0, '卖出价格超范围': 0, '现金不足': 107, '买入价格超范围': 0}",2024-10-15,2024-12-20,0.03,0.0175,0.0025,0.0085,16000
17,1.6769068830175569,7,"{'无持仓': 0, '卖出价格超范围': 0, '现金不足': 3, '买入价格超范围': 0}",2024-10-15,2024-12-20,0.01,0.0265,0.01,0.005,27000
18,3.836971834996936,14,"{'无持仓': 0, '卖出价格超范围': 0, '现金不足': 11, '买入价格超范围': 0}",2024-10-15,2024-12-20,0.0055,0.015,0.0045000000000000005,0.0035,42000
19,3.580538865593746,12,"{'无持仓': 0, '卖出价格超范围': 0, '现金不足': 0, '买入价格超范围': 0}",2024-10-15,2024-12-20,0.0165,0.0245,0.001,0.002,19000
20,0.801109869250783,60,"{'无持仓': 0, '卖出价格超范围': 0, '现金不足': 0, '买入价格超范围': 0}",2024-10-15,2024-12-20,0.01,0.014499999999999999,0.007,0.0085,1000
21,3.4698751717312284,14,"{'无持仓': 0, '卖出价格超范围': 0, '现金不足': 14, '买入价格超范围': 0}",2024-10-15,2024-12-20,0.006,0.013500000000000002,0.0045000000000000005,0.0035,43000
22,3.2264025069266107,11,"{'无持仓': 0, '卖出价格超范围': 0, '现金不足': 7, '买入价格超范围': 0}",2024-10-15,2024-12-20,0.003,0.018,0.0045000000000000005,0.004,44000
23,3.4451540402268006,10,"{'无持仓': 0, '卖出价格超范围': 0, '现金不足': 4, '买入价格超范围': 0}",2024-10-15,2024-12-20,0.0055,0.022,0.0025,0.001,32000
24,4.441742104314679,13,"{'无持仓': 0, '卖出价格超范围': 0, '现金不足': 16, '买入价格超范围': 0}",2024-10-15,2024-12-20,0.01,0.015,0.0045000000000000005,0.002,39000
25,5.348745630778329,14,"{'无持仓': 0, '卖出价格超范围': 0, '现金不足': 7, '买入价格超范围': 0}",2024-10-15,2024-12-20,0.009500000000000001,0.019,0.0065,0.002,37000
