symbol,name,number,profit_rate,trade_count,failed_trades,up_sell_rate,down_buy_rate,up_callback_rate,down_rebound_rate,shares_per_trade
159845,中证1000ETF,67,4.031172898210206,4,"{'无持仓': 187, '卖出价格超范围': 0, '现金不足': 2, '买入价格超范围': 0}",0.010499999999999999,0.029,0.0025,0.005,27000
159845,中证1000ETF,68,5.445325829666283,32,"{'无持仓': 3, '卖出价格超范围': 392, '现金不足': 0, '买入价格超范围': 0}",0.014499999999999999,0.009500000000000001,0.002,0.0025,1000
159845,中证1000ETF,69,0.6850686900000147,2,"{'无持仓': 186, '卖出价格超范围': 0, '现金不足': 22, '买入价格超范围': 0}",0.006,0.004,0.001,0.001,37000
159845,中证1000ETF,70,8.057964930243703,5,"{'无持仓': 10, '卖出价格超范围': 133, '现金不足': 11, '买入价格超范围': 0}",0.022,0.016,0.0015,0.0025,21000
159845,中证1000ETF,71,1.1364404450000003,2,"{'无持仓': 195, '卖出价格超范围': 0, '现金不足': 13, '买入价格超范围': 0}",0.007500000000000001,0.014499999999999999,0.0015,0.003,28000
159845,中证1000ETF,72,0.6890065049999975,2,"{'无持仓': 185, '卖出价格超范围': 0, '现金不足': 13, '买入价格超范围': 0}",0.004,0.013000000000000001,0.001,0.0025,22000
159845,中证1000ETF,73,2.8824157600000033,2,"{'无持仓': 197, '卖出价格超范围': 0, '现金不足': 7, '买入价格超范围': 0}",0.0265,0.021,0.002,0.001,28000
159845,中证1000ETF,74,0.9318453750000044,2,"{'无持仓': 195, '卖出价格超范围': 0, '现金不足': 12, '买入价格超范围': 0}",0.0035,0.019,0.001,0.0055,25000
159845,中证1000ETF,75,2.614742148749996,2,"{'无持仓': 197, '卖出价格超范围': 0, '现金不足': 7, '买入价格超范围': 0}",0.013500000000000002,0.0205,0.0025,0.004,41000
159845,中证1000ETF,76,1.1825989961485321,8,"{'无持仓': 186, '卖出价格超范围': 0, '现金不足': 0, '买入价格超范围': 0}",0.013500000000000002,0.029,0.004,0.0025,3000
