number,profit_rate,trade_count,failed_trades,start_date,end_date,up_sell_rate,down_buy_rate,up_callback_rate,down_rebound_rate,shares_per_trade
45,2.3512157984155144,6,"{'无持仓': 0, '卖出价格超范围': 0, '现金不足': 0, '买入价格超范围': 0}",2024-10-15,2024-12-20,0.018,0.03,0.003,0.0015,21000
46,4.224874035917652,13,"{'无持仓': 0, '卖出价格超范围': 0, '现金不足': 0, '买入价格超范围': 0}",2024-10-15,2024-12-20,0.01,0.028,0.0015,0.0025,21000
47,3.7926884323495593,23,"{'无持仓': 0, '卖出价格超范围': 0, '现金不足': 0, '买入价格超范围': 0}",2024-10-15,2024-12-20,0.009000000000000001,0.0215,0.0025,0.003,11000
48,4.321000701398084,14,"{'无持仓': 0, '卖出价格超范围': 0, '现金不足': 0, '买入价格超范围': 0}",2024-10-15,2024-12-20,0.0125,0.0265,0.002,0.0015,17000
49,1.835043732516678,14,"{'无持仓': 0, '卖出价格超范围': 0, '现金不足': 0, '买入价格超范围': 0}",2024-10-15,2024-12-20,0.013999999999999999,0.0235,0.0035,0.002,7000
50,3.1078256082400912,12,"{'无持仓': 0, '卖出价格超范围': 0, '现金不足': 0, '买入价格超范围': 0}",2024-10-15,2024-12-20,0.004,0.024999999999999998,0.001,0.0025,20000
51,3.7176902334456163,16,"{'无持仓': 0, '卖出价格超范围': 0, '现金不足': 0, '买入价格超范围': 0}",2024-10-15,2024-12-20,0.008,0.0265,0.004,0.003,14000
52,5.221832493128928,12,"{'无持仓': 0, '卖出价格超范围': 0, '现金不足': 0, '买入价格超范围': 0}",2024-10-15,2024-12-20,0.009500000000000001,0.0285,0.003,0.003,26000
53,5.523081363733856,13,"{'无持仓': 57, '卖出价格超范围': 0, '现金不足': 0, '买入价格超范围': 0}",2024-10-15,2024-12-20,0.009500000000000001,0.0285,0.003,0.003,25000
54,4.983071889615738,13,"{'无持仓': 29, '卖出价格超范围': 0, '现金不足': 0, '买入价格超范围': 0}",2024-10-15,2024-12-20,0.011,0.0285,0.0015,0.003,25000
55,2.344061928022355,5,"{'无持仓': 0, '卖出价格超范围': 0, '现金不足': 0, '买入价格超范围': 0}",2024-10-15,2024-12-20,0.0225,0.0285,0.0025,0.002,28000
56,4.921382449954815,14,"{'无持仓': 0, '卖出价格超范围': 0, '现金不足': 5, '买入价格超范围': 0}",2024-10-15,2024-12-20,0.007,0.02,0.0035,0.001,31000
57,2.213098113306196,6,"{'无持仓': 0, '卖出价格超范围': 0, '现金不足': 0, '买入价格超范围': 0}",2024-10-15,2024-12-20,0.029,0.029,0.002,0.0035,23000
58,4.360562281767578,9,"{'无持仓': 0, '卖出价格超范围': 0, '现金不足': 0, '买入价格超范围': 0}",2024-10-15,2024-12-20,0.013000000000000001,0.03,0.003,0.0015,26000
59,2.8892596602300156,7,"{'无持仓': 0, '卖出价格超范围': 0, '现金不足': 11, '买入价格超范围': 0}",2024-10-15,2024-12-20,0.018,0.0255,0.004,0.003,30000
60,1.162823486202221,15,"{'无持仓': 0, '卖出价格超范围': 0, '现金不足': 102, '买入价格超范围': 0}",2024-10-15,2024-12-20,0.009500000000000001,0.009500000000000001,0.0035,0.004,33000
